dataset,algorithm,ari,silhouette,calinski,davies_bouldin,runtime_sec
penguins,kmeans,0.7994209859673324,0.446192544665462,427.7725706486827,0.9420100952819785,0.07491388699963863
penguins,minibatch_kmeans,0.9046436640041504,0.45816494403846475,425.82370121409815,0.8920082969107653,0.0441837399994256
penguins,ward,0.9132403731145367,0.45209829496381126,408.2171696699927,0.8502452678376331,0.035747691999858944
penguins,complete,0.9433531414467196,0.45239568061702534,410.57634175363813,0.881683618746835,0.0351309850002508
penguins,dbscan,0.6506076534069134,0.5329351866121019,473.4221616342272,0.7116864379687214,0.053980410999429296
penguins,hdbscan,0.648078687592785,0.5359010346051777,480.53103996224695,0.7046478472535902,0.05523164900023403
penguins,spectral,0.8195572198507073,0.4602984438449522,399.9587403135087,0.7637782236706974,0.1675748260004184
penguins,gmm,0.9590697988939161,0.4540965048933855,413.1939193601989,0.889556990713368,0.14060485099980724
wine,kmeans,0.8974949815093207,0.2848589191898987,70.9400080031512,1.3891879777181646,0.05130412800008344
wine,minibatch_kmeans,0.8950582389649661,0.2831143774741039,70.64417677341194,1.3917302590146328,0.051465874000314216
wine,ward,0.7899332213582837,0.2774439826952266,67.6474675044098,1.4185919431857326,0.020038329999806592
wine,complete,0.6775796881583479,0.18836501623937577,42.766683884872386,1.6913454459811021,0.017784100999961083
wine,dbscan,0.0,-1.0,0.0,inf,0.019694928999342665
wine,hdbscan,0.2659569871167458,0.3603456273477751,60.80462595967481,1.0559289281449353,0.020767390000401065
wine,spectral,0.779944655570857,0.26559772738685955,40.772365323663465,1.125106570047517,0.10137661799944908
wine,gmm,0.9183879745868213,0.2901640240271898,53.29784817433094,1.325814192269445,0.1046148159994118
digits,kmeans,0.8021534261958082,0.17359985153812307,104.40502958185093,2.096733911908122,0.10692224299964437
digits,minibatch_kmeans,0.7969757458087129,0.1748442733748198,104.43811578762207,2.097644775826453,0.15042335700036347
digits,ward,0.8573556999992864,0.17043286865893706,101.85401063076726,2.149759459755198,0.20467700900007912
digits,complete,0.0006986193627763331,0.4700241633743972,26.37029892348001,0.8701075396037116,0.2447797899994839
digits,dbscan,0.0,-1.0,0.0,inf,0.04832613300004596
digits,hdbscan,0.4296297989354532,0.2971780675402521,124.45866755606374,1.3199513769939877,0.3825686650006901
digits,spectral,-1.0921924098317874e-05,0.6988123616951591,18.615431786543017,0.21757638679133562,218.0460749540007
digits,gmm,0.4818607597684484,0.16098628447279784,95.20246579904534,1.8623651341869796,1.2423650740001904
